Designator,Val,Mid X,Mid Y,Rotation,Layer
C1,100uF 25V,8.0,24.0,0.0,Top
C2,10uF 25V,22.0,14.0,0.0,Top
C3,22uF 10V,28.0,9.0,0.0,Top
C4,100nF,34.0,22.0,0.0,Top
C5,100nF,44.0,14.0,0.0,Top
C6,100nF,46.0,14.0,0.0,Top
C7,100nF,32.0,9.0,0.0,Top
C8,1uF,44.0,42.0,0.0,Top
C9,100nF,38.0,28.0,0.0,Top
J1,BATT_IN,6.35,36.0,0.0,Top
J2,LOAD_OUT,6.35,22.0,0.0,Top
J3,PinHeader 1x03,26.0,5.0,0.0,Top
J4,USB4135-GF-A,46.0,1.5,0.0,Top
L1,4.7uH IHLP-5050,20.0,10.0,0.0,Top
LED1,Blue 0402,56.0,46.0,0.0,Top
R1,4.7k,38.0,22.0,0.0,Top
R10,5.1k,36.0,4.0,0.0,Top
R11,5.1k,38.0,4.0,0.0,Top
R2,4.7k,40.0,22.0,0.0,Top
R3,10k,30.0,34.0,0.0,Top
R4,100R,56.0,44.0,0.0,Top
R5,10R,40.0,32.0,0.0,Top
R6,210k,16.0,12.0,0.0,Top
R7,68k,20.0,12.0,0.0,Top
R8,10k,44.0,44.0,0.0,Top
R9,4.7k,48.0,46.0,0.0,Top
R_SHUNT,WSLT2512R0100FEA,22.0,32.0,90.0,Top
SW1,B3S-1000,33.0,46.0,0.0,Top
SW2,B3S-1000,43.0,46.0,0.0,Top
TVS1,SMAJ15CA,20.0,40.0,0.0,Top
U1,ESP32-C3-MINI-1-N4,52.0,27.0,-90.0,Top
U2,INA228AIDGST,34.0,28.0,0.0,Top
U3,AP63203WU-7,8.0,10.0,0.0,Top
